gene,celltype,mean_expr,pct_expressing
ALDH2,PCT,1.6107709407806396,77.4965564738292
ALDH2,LOH,0.5533503293991089,34.26124197002141
ALDH2,Mono_Mac,0.5082249045372009,44.681960375391036
ALDH2,Mesangial,0.27874958515167236,24.749772520473158
ALDH2,Endothelial,0.2124636173248291,18.31604150039904
ALDH2,Plasma,0.19254860281944275,20.967741935483872
ALDH2,NK,0.15558825433254242,10.064935064935066
ALDH2,Neutrophil,0.13445010781288147,7.086614173228346
ALDH2,Mast,0.10115279257297516,5.88235294117647
ALDH2,B_cell,0.09908892214298248,7.6767676767676765
ALDH2,T_cell,0.07289518415927887,4.958283671036949
FN1,Endothelial,1.7143796682357788,73.42378292098962
FN1,Mesangial,0.9379698634147644,53.77616014558689
FN1,Neutrophil,0.12183170020580292,5.511811023622047
FN1,Mono_Mac,0.06411680579185486,5.213764337851929
FN1,LOH,0.05710994452238083,2.9264810849393292
FN1,NK,0.03200105205178261,2.1645021645021645
FN1,Plasma,0.031969599425792694,2.4193548387096775
FN1,PCT,0.03127976506948471,2.203856749311295
FN1,T_cell,0.027773858979344368,1.7640047675804529
FN1,B_cell,0.0199930127710104,1.6161616161616161
FN1,Mast,0.004671280272305012,0.4524886877828055
