file,gsm,group,chip
GSM2810894_H1-Tub-DN1.CEL.gz,GSM2810894,DKD,712
GSM2810895_H1-Tub-DN10.CEL.gz,GSM2810895,DKD,712
GSM2810896_H1-Tub-DN11.CEL.gz,GSM2810896,DKD,712
GSM2810897_H1-Tub-DN2.CEL.gz,GSM2810897,DKD,712
GSM2810898_H1-Tub-DN3.CEL.gz,GSM2810898,DKD,712
GSM2810899_H1-Tub-DN5.CEL.gz,GSM2810899,DKD,712
GSM2810900_H1-Tub-DN6.CEL.gz,GSM2810900,DKD,712
GSM2810901_H1-Tub-DN7.CEL.gz,GSM2810901,DKD,712
GSM2810902_H1-Tub-DN8.CEL.gz,GSM2810902,DKD,712
GSM2810903_H1-Tub-DN9.CEL.gz,GSM2810903,DKD,712
GSM2811026_H5-Tub-LD373.CEL.gz,GSM2811026,Control,712
GSM2811027_H5-Tub-LD374.CEL.gz,GSM2811027,Control,712
GSM2811028_H5-Tub-LD375.CEL.gz,GSM2811028,Control,712
GSM2811029_H7-Tub-DN1101.CEL.gz,GSM2811029,DKD,1164
GSM2811030_H7-Tub-DN1108.CEL.gz,GSM2811030,DKD,1164
GSM2811031_H7-Tub-DN1110.CEL.gz,GSM2811031,DKD,1164
GSM2811032_H7-Tub-DN1114.CEL.gz,GSM2811032,DKD,1164
GSM2811033_H7-Tub-DN1132.CEL.gz,GSM2811033,DKD,1164
GSM2811034_H7-Tub-DN1133.CEL.gz,GSM2811034,DKD,1164
GSM2811035_H7-Tub-DN1139.CEL.gz,GSM2811035,DKD,1164
GSM2811043_H7-Tub-LD1164.CEL.gz,GSM2811043,Control,1164
GSM2811044_H7-Tub-LD1165.CEL.gz,GSM2811044,Control,1164
GSM2811045_H7-Tub-LD1166.CEL.gz,GSM2811045,Control,1164
GSM2811046_H7-Tub-LD1168.CEL.gz,GSM2811046,Control,1164
GSM2811047_H7-Tub-LD1169.CEL.gz,GSM2811047,Control,1164
GSM2811048_H7-Tub-LD1170.CEL.gz,GSM2811048,Control,1164
GSM2811049_H7-Tub-LD1171.CEL.gz,GSM2811049,Control,1164
GSM2811050_H7-Tub-LD1172.CEL.gz,GSM2811050,Control,1164
GSM2811051_H7-Tub-LD1173.CEL.gz,GSM2811051,Control,1164
GSM2811052_H7-Tub-LD1174.CEL.gz,GSM2811052,Control,1164
GSM2811053_H7-Tub-LD1175.CEL.gz,GSM2811053,Control,1164
GSM2811054_H7-Tub-LD1177.CEL.gz,GSM2811054,Control,1164
GSM2811055_H7-Tub-LD1178.CEL.gz,GSM2811055,Control,1164
GSM2811056_H7-Tub-LD1179.CEL.gz,GSM2811056,Control,1164
GSM2811057_H7-Tub-LD1180.CEL.gz,GSM2811057,Control,1164
GSM2811058_H7-Tub-LD1182.CEL.gz,GSM2811058,Control,1164
GSM2811059_H7-Tub-LD1183.CEL.gz,GSM2811059,Control,1164
GSM2811060_H7-Tub-LD1184.CEL.gz,GSM2811060,Control,1164
