"id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"mi3Swi","VClRpB","FinnGen_R12_DKD","CA2",0.00393572961756084,0.0118976376870146,0.747011621986942
"Fkeifk","VClRpB","FinnGen_R12_DKD","XAF1",0.0174083597677903,0.0300541006537639,0.603060340192407
"ULIkpM","VClRpB","FinnGen_R12_DKD","ALDH2",-0.031390706477936,0.012261963568066,0.0250012170451318
"VxdvSa","VClRpB","FinnGen_R12_DKD","FN1",0.0664119014871107,0.0434930332899596,0.369119068137966
"p7jH9J","VClRpB","FinnGen_R12_DKD","VNN2",0.00889719668254551,0.0177224454411773,0.63353385306524
"SXWrRL","VClRpB","FinnGen_R12_DKD","IFI44L",0.0145761141795685,0.0263760157161678,0.604313538385952
"bheArY","VClRpB","FinnGen_R12_DKD","CREB5",0.0226457814200187,0.0167316536368892,0.23387411484404
"BAm7Zx","VClRpB","FinnGen_R12_DKD","CDKN1B",0.0223953333677931,0.0887511357944041,0.842641316414353
"obc8mT","VClRpB","FinnGen_R12_DKD","TSPYL5",-0.0124634680844127,0.0179047555330375,0.558382369205559
"n3Lf59","VClRpB","FinnGen_R12_DKD","SYTL2",0.00675917795629518,0.0155073498296889,0.685422655797624
