"orig.ident","stage","FN1","ALDH2"
"Control_NM01","Control",0.176581284488439,1.25292326830022
"Control_NM02","Control",0.589857594770934,0.360352664817757
"Control_NM03","Control",1.02601890162597,0.305825620698633
"Control_s1","Control",0.178850842680871,0.125403462791107
"Control_s2","Control",0.0921993787197879,0.102335012062077
"Control_s3","Control",0.16437353409944,0.101537101856851
"Early_s1","Early",0.108633060778464,0.0993402061290052
"Early_s2","Early",0.160110818242631,0.0958180616137505
"Early_s3","Early",0.210988063008314,0.108069377243541
"Late_DKD01","Late",0.264547646151541,1.1574277229934
"Late_DKD02","Late",0.0996052069784939,0.369702251523305
"Late_DKD03","Late",0.114385485759909,0.992666539186863
